Year,Player,Age,Hometown,Home State,Tm,G,GS,Cmp,Att,Yds,TD,Int,Y/A,Rec,Y/R,FantPos,FantPt,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year,Wonderlic,40�Yard,Bench Press,Vert Leap�(in),Broad Jump�(in),Shuttle,3Cone
2003,Bobby Shaw,28,San Francisco,CA,BUF,16,7,0,0,732,4,0,,56,13.07,WR,97,73,185,California,Pac 12,90,94,4/23/1975,6,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Jerome Simpson,25,Reidsville,NC,CIN,16,14,0,0,725,4,0,,50,14.5,WR,97,73,193,Coastal Carolina,Big South,#N/A,#N/A,2/4/1986,2,0,0,4.42,0,37.5,136,4.52,7.08
2013,Mike Tolbert,28,Carrollton,GA,CAR,16,13,0,101,184,2,0,3.57,27,6.81,RB,97,69,243,Coastal Carolina,Big South,#N/A,#N/A,11/23/1985,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Aaron Hernandez,21,Bristol,CT,NWE,14,7,0,3,563,6,0,15.67,45,12.51,TE,97,74,250,Florida,SEC,139,55,11/6/1989,4,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Shane Matthews,29,Pascagoula,MS,CHI,8,7,167,14,0,0,6,2.21,0,,QB,97,75,196,Florida,SEC,139,55,6/1/1970,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Hines Ward,24,Forest Park,GA,PIT,16,15,0,4,672,4,0,13.25,48,14,WR,97,73,205,Georgia,SEC,142,53,3/8/1976,0,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Donnie Avery,28,Houston,TX,IND,16,15,0,4,781,3,0,2.25,60,13.02,TE,97,71,186,Houston,American,98,88,7/4/1900,2,2008,0,4.43,16,0,0,0,0
2013,Dwayne Bowe,29,Miami,FL,KAN,15,15,0,0,673,5,0,,57,11.81,WR,97,74,221,LSU,SEC,146,48,9/21/1984,1,2007,0,4.51,0,33,125,4.35,6.81
2007,Isaac Bruce,35,Fort Lauderdale,FL,STL,14,12,0,2,733,4,0,-2,55,13.33,WR,97,73,188,Memphis,American,68,112,11/10/1972,2,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Justin Fargas,28,Encino,CA,OAK,14,14,0,218,52,0,0,3.91,10,5.2,RB,97,73,220,Michigan,Big Ten,124,64,1/25/1980,3,0,0,4.35,27,0,137,0,0
2000,Andre Rison,33,Flint,MI,OAK,16,0,0,0,606,6,0,,41,14.78,WR,97,73,188,Michigan St.,Big Ten,112,76,3/18/1967,1,1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Terance Mathis,33,Detroit,MI,ATL,16,16,0,1,679,5,0,-5,57,11.91,WR,97,70,177,New Mexico,Mountain West,72,111,6/7/1967,0,1990,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Andre Brown,26,Baltimore,MD,NYG,10,2,0,73,86,0,0,5.27,12,7.17,RB,97,73,224,North Carolina St.,ACC,98,88,8/11/1900,4,2009,0,4.37,24,37,115,4.33,7.35
2000,Peerless Price,24,Dayton,OH,BUF,16,16,0,2,762,3,0,16,52,14.65,WR,97,71,190,Tennessee,SEC,113,75,10/27/1976,0,1999,0,4.55,35,35,116,4.09,7.28
2010,Vince Young,27,Houston,TX,TEN,9,8,93,25,0,0,3,5,0,,QB,97,77,0,Texas,Big 12,149,45,5/18/1983,1,2006,15,4.48,0,0,0,0,0
2000,Sammy Morris,23,San Antonio,TX,BUF,12,8,0,93,268,1,0,3.67,37,7.24,RB,97,73,220,Texas Tech,Big 12,120,70,3/23/1977,0,2000,0,4.65,37.5,37.5,117,4.21,7.05
2007,David Patten,33,Columbia,SC,NOR,16,5,0,2,792,3,0,-2.5,54,14.67,WR,97,12,190,West. Carolina,Southern,#N/A,#N/A,8/19/1974,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Todd Heap,29,Mesa,AZ,BAL,16,16,0,1,593,6,0,2,53,11.19,TE,96,77,252,Arizona St.,Pac 12,101,86,3/16/1980,1,2001,0,4.68,22,32,0,0,0
2011,Kevin Smith,25,Miami,FL,DET,7,4,0,72,179,3,0,4.94,22,8.14,RB,96,73,210,Central Florida,American,99,86,12/17/1986,3,2008,0,4.53,0,32,120,4.49,6.74
2004,Rod Gardner,27,Jacksonville,FL,WAS,16,14,0,3,650,5,0,2.33,51,12.75,WR,96,74,213,Clemson,ACC,123,68,10/26/1977,1,2001,0,4.48,0,36,0,0,0
2005,David Garrard,27,East Orange,NJ,JAX,7,5,98,31,0,0,1,5.55,0,,QB,96,73,0,East Carolina,American,97,90,2/14/1978,4,2002,14,4.82,0,33.5,111,4.26,7.35
2011,David Nelson,25,Wichita Falls,TX,BUF,16,13,0,0,658,5,0,,61,10.79,WR,96,77,217,Florida,SEC,139,55,11/7/1986,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Marlon Brown,22,0,,BAL,14,12,0,1,524,7,0,-2,49,10.69,WR,96,77,216,Georgia,SEC,142,53,1/0/1900,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Joe Horn,27,New Haven,CT,KAN,16,1,0,2,586,6,0,7.5,35,16.74,WR,96,73,206,Itawamba JC,Junior College,#N/A,#N/A,1/16/1972,5,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Corey Bradford,24,Baton Rouge,LA,GNB,16,2,0,0,637,5,0,,37,17.22,WR,96,73,201,Jackson St.,SWAC,#N/A,#N/A,12/8/1975,5,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Antonio Gates,32,Detroit,MI,SDG,15,15,0,0,538,7,0,,49,10.98,TE,96,76,260,Kent St.,MAC,66,111,9/16/1900,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Dwayne Bowe,28,Miami,FL,KAN,13,12,0,0,801,3,0,,59,13.58,WR,96,74,221,LSU,SEC,146,48,8/8/1900,1,2007,0,4.51,0,33,125,4.35,6.81
2002,Reggie Wayne,24,New Orleans,LA,IND,16,7,0,0,716,4,0,,49,14.61,WR,96,73,198,Miami (FL),ACC,130,58,11/17/1978,1,2001,0,4.45,36,36,0,0,0
2011,Dexter McCluster,22,Largo,FL,KAN,16,4,0,114,328,1,0,4.53,46,7.13,WR,96,69,165,Mississippi,SEC,92,91,8/25/1989,2,2010,18,4.53,20,37.5,118,4.06,0
2013,Cecil Shorts,26,Cleveland,OH,JAX,13,13,0,0,777,3,0,,66,11.77,WR,96,73,200,Mount Union,Ohio Athletic Conference,#N/A,#N/A,12/22/1987,4,2011,0,4.5,21,34.5,114,4.07,6.5
2007,Arnaz Battle,27,Dallas,TX,SFO,16,15,0,4,600,5,0,1,50,12,WR,96,73,217,Notre Dame,Independent,112,74,2/22/1980,6,2003,0,4.58,0,35,117,4.06,6.74
2006,Santonio Holmes,22,Belle Glade,FL,PIT,16,4,0,1,824,2,0,13,49,16.82,WR,96,70,185,Ohio St.,Big Ten,138,41,3/3/1984,1,2006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Jermaine Gresham,23,Ardmore,OK,CIN,14,13,0,0,596,6,0,,56,10.64,TE,96,77,261,Oklahoma,Big 12,160,39,6/16/1988,1,2010,0,4.66,20,35,113,4.53,7.07
2010,Brandon Pettigrew,25,Tyler,TX,DET,16,16,0,0,722,4,0,,71,10.17,TE,96,77,257,Oklahoma St.,Big 12,113,73,2/23/1985,1,2009,0,4.8,22,33,118,4.37,7.12
2005,Bobby Engram,32,Camden,SC,SEA,13,13,0,0,778,3,0,,67,11.61,WR,96,70,188,Penn St.,Big Ten,15,68,1/7/1973,2,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Toby Gerhart,24,Norco,CA,MIN,16,5,0,109,190,3,0,4.87,23,8.26,RB,96,73,234,Stanford,Pac 12,101,81,3/28/1987,2,2010,0,4.5,22,38,118,4.25,6.94
2000,Qadry Ismail,30,Newark,NJ,BAL,15,13,0,0,655,5,0,,49,13.37,WR,96,73,196,Syracuse,ACC,81,101,11/8/1970,0,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Eric Parker,26,Chicago,IL,SDG,15,9,0,4,725,3,0,13.75,57,12.72,WR,96,73,180,Tennessee,SEC,113,75,4/14/1979,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Aaron Stecker,32,Green Bay,WI,NOR,16,6,0,115,211,0,0,3.9,36,5.86,RB,96,12,213,Wisconsin,Big Ten,135,60,11/13/1975,0,0,0,4.84,23,32.5,113,4.17,7
2004,Dennis Northcutt,27,Los Angeles,CA,CLE,16,11,0,8,806,2,0,2.38,55,14.65,WR,95,71,175,Arizona,Pac 12,82,99,12/22/1977,2,2000,0,4.43,0,37.5,123,4.04,6.96
2007,Kyle Boller,26,Burbank,CA,BAL,12,8,168,19,0,0,10,4.68,0,,QB,95,75,220,California,Pac 12,90,94,6/17/1981,1,2003,27,4.61,0,35.5,117,4.02,7.2
2013,Bobby Rainey,26,0,,2TM,16,6,0,150,46,1,0,3.77,15,3.07,RB,95,68,205,Griffin,#N/A,#N/A,#N/A,1/0/1900,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Brandon Lloyd,23,Kansas City,MO,SFO,13,13,0,0,565,6,0,,43,13.14,WR,95,73,192,Illinois,Big Ten,73,107,7/5/1981,4,2003,0,4.62,0,36,0,0,0
2012,Pierre Thomas,28,Chicago,IL,NOR,15,4,0,105,354,1,0,4.5,39,9.08,RB,95,71,210,Illinois,Big Ten,73,107,7/28/1900,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Marty Booker,27,Marrero,LA,CHI,13,13,0,3,715,4,0,-2.33,52,13.75,WR,95,73,212,La-Monroe,Sun Belt,65,111,7/31/1976,3,1999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Brandon LaFell,26,Houston,TX,CAR,14,12,0,3,677,4,0,11.67,44,15.39,WR,95,74,208,LSU,SEC,146,48,7/26/1900,3,2010,0,4.58,0,36,115,4.23,6.81
2002,Kevin Faulk,26,Lafayette,LA,NWE,15,0,0,52,379,3,0,5.21,37,10.24,RB,95,68,202,LSU,SEC,146,48,6/5/1976,2,1999,0,4.57,34,34,114,4.09,7.14
2013,Rueben Randle,22,Bastrop,LA,NYG,16,3,0,0,611,6,0,,41,14.9,WR,95,76,205,LSU,SEC,146,48,5/7/1991,2,2012,0,4.55,15,31,121,4.36,6.99
2004,Jermaine Wiggins,29,East Boston,MA,MIN,14,13,0,0,705,4,0,,71,9.93,TE,95,74,260,Marshall,Conference USA,107,80,1/18/1975,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Marion Barber,22,Plymouth,MN,DAL,13,2,0,138,115,0,0,3.9,18,6.39,RB,95,71,221,Minnesota,Big Ten,90,96,6/10/1983,4,2005,0,4.53,20,40,0,0,0
1999,Bob Christian,31,St. Louis,MO,ATL,16,14,0,38,354,2,0,4.58,40,8.85,RB,95,71,226,Northwestern,Big Ten,92,92,11/14/1968,12,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Jerome Bettis,33,Detroit,MI,PIT,12,0,0,110,40,0,0,3.35,4,10,RB,95,71,252,Notre Dame,Independent,112,74,2/16/1972,1,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Patrick Crayton,30,De Soto,TX,DAL,16,6,0,4,622,5,0,7,37,16.81,WR,95,73,205,NW Oklahoma St.,Division II,#N/A,#N/A,4/7/1979,7,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Kenny Stills,21,0,,NOR,16,10,0,3,641,5,0,3.33,32,20.03,WR,95,73,194,Oklahoma,Big 12,160,39,1/0/1900,5,2013,0,4.38,16,33.5,124,4.35,0
2010,Derek Anderson,27,Portland,OR,ARI,12,9,169,5,0,0,10,5,0,,QB,95,78,0,Oregon St.,Pac 12,111,76,6/15/1983,6,2005,23,5.03,0,29,103,4.67,7.67
2004,Duce Staley,29,Tampa,FL,PIT,10,10,0,192,55,0,0,4.32,6,9.17,RB,95,71,242,South Carolina,SEC,110,76,2/27/1975,3,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Jared Cook,26,Birmingham,AL,STL,16,13,0,0,671,5,0,,51,13.16,TE,95,76,235,South Carolina,SEC,110,76,4/7/1987,3,2009,0,4.49,23,41,123,0,0
2010,Robert Meachem,26,Tulsa,OK,NOR,16,7,0,4,638,5,0,3.5,44,14.5,WR,95,74,214,Tennessee,SEC,113,75,9/28/1984,1,2007,0,4.39,0,37.5,121,4.31,6.97
2010,Danny Amendola,25,The Woodlands,TX,STL,16,6,0,7,689,3,0,11.57,85,8.11,WR,95,71,183,Texas Tech,Big 12,120,70,11/2/1985,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Mike Williams,24,Tampa,FL,TAM,16,15,0,1,771,3,0,3,65,11.86,WR,95,77,229,USC,Pac 12,129,49,1/4/1984,1,2005,0,4.53,8,33.5,116,4.31,6.9
2001,Rob Johnson,28,Newport Beach,CA,BUF,8,8,134,36,0,0,7,6.69,0,,QB,95,76,204,USC,Pac 12,129,49,3/18/1973,4,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Richard Huntley,29,Monroe,NC,CAR,14,9,0,165,101,1,0,4.03,21,4.81,RB,95,71,224,Winston-Salem St.,MEAC,#N/A,#N/A,9/18/1972,4,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Owen Daniels,25,Naperville,IL,HOU,16,16,0,0,768,3,0,,63,12.19,TE,95,75,245,Wisconsin,Big Ten,135,60,11/9/1982,4,2006,0,4.65,23,34.5,114,4.11,6.88
2004,Eric Johnson,25,Needham,MA,SFO,16,14,0,0,825,2,0,,82,10.06,TE,95,75,256,Yale,Ivy,#N/A,#N/A,9/15/1979,7,0,0,4.6,12,38,121,4.17,6.96
2000,Shawn Jefferson,31,Jacksonville,FL,ATL,16,14,0,1,822,2,0,1,60,13.7,WR,94,71,185,Central Florida,American,99,86,2/22/1969,0,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Ben Watson,30,Norfolk,VA,CLE,16,16,0,1,763,3,0,-1,68,11.22,TE,94,75,255,Duke,ACC,44,134,12/18/1980,1,0,0,4.57,34,35.5,123,4.15,7.39
2006,Wali Lundy,23,New Brunswick,NJ,HOU,14,8,0,124,204,0,0,3.84,33,6.18,RB,94,70,215,Holy Cross,Patriot League,#N/A,#N/A,9/8/1983,6,2006,0,4.48,18,35,111,4.37,7.01
2006,Joe Horn,34,New Haven,CT,NOR,10,9,0,0,679,4,0,,37,18.35,WR,94,73,206,Itawamba JC,Junior College,#N/A,#N/A,1/16/1972,5,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Brandon LaFell,27,Houston,TX,CAR,16,16,0,2,627,5,0,7.5,49,12.8,WR,94,74,208,LSU,SEC,146,48,11/4/1986,3,2010,0,4.58,0,36,115,4.23,6.81
2009,Devery Henderson,27,Lafayette,LA,NOR,16,11,0,4,804,2,0,3.25,51,15.76,WR,94,71,200,LSU,SEC,146,48,3/26/1982,2,2004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Frank Wycheck,29,Philadelphia,PA,TEN,16,16,2,0,636,4,0,,70,9.09,TE,94,75,253,Maryland,Big Ten,98,86,10/14/1971,0,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Devin Hester,27,Riviera Beach,FL,CHI,13,12,0,6,757,3,0,-0.17,57,13.28,WR,94,70,185,Miami (FL),ACC,130,58,11/4/1982,2,2006,0,4.41,16,38,124,0,0
2007,Amani Toomer,33,Berkeley,CA,NYG,16,15,0,0,760,3,0,,59,12.88,WR,94,75,208,Michigan,Big Ten,124,64,9/8/1974,2,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Steve Breaston,26,North Braddock,PA,ARI,15,6,0,2,712,3,0,22,55,12.95,WR,94,73,175,Michigan,Big Ten,124,64,8/20/1983,5,2007,0,4.46,0,33,124,4.29,6.9
2007,Donald Lee,27,Maben,MS,GNB,15,12,0,0,575,6,0,,48,11.98,TE,94,75,255,Mississippi St.,SEC,83,99,8/31/1980,5,2003,0,4.82,26,39,120,4.42,7.42
2012,Blaine Gabbert,23,Ballwin,MO,JAX,10,10,162,18,0,0,6,3.11,0,,QB,94,77,0,Missouri,SEC,109,78,1/0/1900,1,2011,42,4.61,0,33.5,120,4.26,6.84
2009,Correll Buckhalter,31,Laurel,MS,DEN,14,7,0,120,240,0,0,5.35,31,7.74,RB,94,73,222,Nebraska,Big Ten,134,61,10/6/1978,4,2001,0,4.53,11,40,0,4.06,7.08
2002,Terry Glenn,28,Columbus,OH,GNB,15,14,0,0,817,2,0,,56,14.59,WR,94,71,195,Ohio St.,Big Ten,138,41,7/23/1974,1,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Derek Anderson,25,Portland,OR,CLE,10,9,142,25,0,0,8,2.2,0,,QB,94,78,0,Oregon St.,Pac 12,111,76,6/15/1983,6,2005,23,5.03,0,29,103,4.67,7.67
2001,Darnay Scott,29,St. Louis,MO,CIN,16,15,0,0,819,2,0,,57,14.37,WR,94,73,200,San Diego St.,Mountain West,77,104,7/7/1972,2,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Jared Cook,24,Birmingham,AL,TEN,16,5,0,0,759,3,0,,49,15.49,TE,94,76,235,South Carolina,SEC,110,76,4/7/1987,3,2009,0,4.49,23,41,123,0,0
2008,Marvin Harrison,36,Philadelphia,PA,IND,15,15,0,0,636,5,0,,60,10.6,WR,94,73,175,Syracuse,ACC,81,101,8/25/1972,1,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Albert Connell,26,Fort Lauderdale,FL,WAS,16,12,0,0,762,3,0,,39,19.54,WR,94,73,179,Texas A&M,SEC,107,79,5/13/1974,0,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Nate Washington,26,Toledo,OH,TEN,16,15,0,2,569,6,0,7.5,47,12.11,WR,94,73,185,Tiffin,GLIAC,#N/A,#N/A,8/28/1983,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Roydell Williams,26,New Orleans,LA,TEN,16,14,0,2,719,4,0,-8.5,55,13.07,WR,94,73,192,Tulane,American,60,119,3/14/1981,4,2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Drew Bennett,28,Berkeley,CA,TEN,16,15,0,0,737,3,0,,46,16.02,WR,94,77,206,UCLA,Pac 12,100,88,8/26/1978,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Mark Ingram,23,Hackensack,NJ,NOR,16,5,0,156,29,0,0,3.86,6,4.83,RB,93,70,215,Alabama,SEC,114,58,8/2/1900,1,2011,0,4.62,21,31.5,113,4.62,7.13
2003,Dennis Northcutt,26,Los Angeles,CA,CLE,15,6,0,12,729,2,0,6.92,62,11.76,WR,93,71,175,Arizona,Pac 12,82,99,12/22/1977,2,2000,0,4.43,37.5,37.5,123,4.04,6.96
2012,Felix Jones,25,Tulsa,OK,DAL,16,7,0,111,266,2,0,3.62,26,10.23,RB,93,73,200,Arkansas,SEC,107,80,7/18/1900,1,2008,0,4.44,0,33.5,124,4.19,6.9
2000,Trent Dilfer,28,Santa Cruz,CA,BAL,11,8,134,20,-1,0,11,3.75,1,-1,QB,93,76,225,Fresno St.,Mountain West,121,74,3/13/1972,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Ryan Fitzpatrick,27,Gilbert,AZ,BUF,10,8,127,31,0,0,10,4.55,0,,QB,93,74,0,Harvard,Ivy,#N/A,#N/A,11/24/1982,7,2005,48,4.86,0,30.5,105,4.07,7.09
2007,Brandon Stokley,31,Blacksburg,VA,DEN,13,9,0,1,635,5,0,-6,40,15.88,WR,93,12,197,La-Lafayette,Sun Belt,74,104,6/23/1976,4,1999,0,4.49,0,35.5,118,4.01,7.04
2006,DeAngelo Williams,23,Little Rock,AR,CAR,13,2,0,121,313,1,0,4.14,33,9.48,RB,93,68,210,Memphis,American,68,112,4/25/1983,1,2006,0,4.49,25,35.5,0,0,0
2011,Steve Breaston,28,North Braddock,PA,KAN,16,13,0,1,785,2,0,25,61,12.87,WR,93,73,175,Michigan,Big Ten,124,64,8/20/1983,5,2007,0,4.46,0,33,124,4.29,6.9
2008,Correll Buckhalter,30,Laurel,MS,PHI,14,2,0,76,324,2,0,4.86,26,12.46,RB,93,73,222,Nebraska,Big Ten,134,61,10/6/1978,4,2001,0,4.53,11,40,0,4.06,7.08
2002,D'Wayne Bates,27,Aiken,SC,MIN,14,11,0,0,689,4,0,,50,13.78,WR,93,74,212,Northwestern,Big Ten,92,92,12/4/1975,3,1999,0,4.59,37,37,117,4.24,7.25
2008,John Carlson,24,St. Cloud,MN,SEA,16,9,0,0,627,5,0,,55,11.4,TE,93,77,256,Notre Dame,Independent,112,74,5/12/1984,2,2008,0,4.88,20,30.5,113,4.28,7.12
2000,Kyle Brady,28,New Cumberland,PA,JAX,16,15,0,0,729,3,0,,64,11.39,TE,93,78,278,Penn St.,Big Ten,15,68,1/14/1972,1,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,L.J. Smith,26,New Brunswick,NJ,PHI,16,15,0,0,611,5,0,,50,12.22,TE,93,75,258,Rutgers,Big Ten,87,96,5/13/1980,2,2003,0,4.62,26,37,122,4.25,6.74
2001,Shannon Sharpe,33,Chicago,IL,BAL,16,15,0,0,811,2,0,,73,11.11,TE,93,74,228,Savannah St.,MEAC,#N/A,#N/A,6/26/1968,7,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Priest Holmes,27,Fort Smith,AR,BAL,16,2,0,137,221,0,0,4.29,32,6.91,RB,93,69,213,Texas,Big 12,149,45,10/7/1973,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Martellus Bennett,25,San Diego County,TX,NYG,16,16,0,0,626,5,0,,55,11.38,TE,93,79,248,Texas A&M,SEC,107,79,9/4/1900,2,2008,0,4.68,18,34,118,4.53,7.64
2010,Jason Snelling,27,Toms River,NJ,ATL,14,0,0,87,303,3,0,3.72,44,6.89,RB,93,71,235,Virginia,ACC,90,95,12/29/1983,7,2007,0,4.79,0,30,111,4.38,7.06
2001,Desmond Clark,24,Bartow,FL,DEN,16,4,0,0,566,6,0,,51,11.1,TE,93,75,255,Wake Forest,ACC,86,96,4/20/1977,6,1999,0,4.86,31,31,113,4.35,7.3
2013,Delanie Walker,29,Pomona,CA,TEN,15,11,0,0,571,6,0,,60,9.52,TE,93,73,241,#N/A,#N/A,#N/A,#N/A,8/12/1984,6,2006,0,4.49,0,36.5,118,0,0
2000,Chad Lewis,29,Fort Dix,NJ,PHI,16,16,0,0,735,3,0,,69,10.65,TE,92,78,252,BYU,Independent,122,67,10/5/1971,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,J.T. O'Sullivan,29,Burbank,CA,SFO,9,8,128,30,0,0,11,4.83,0,,QB,92,74,0,California-Davis,Big Sky,#N/A,#N/A,8/25/1979,6,0,35,4.88,0,29,107,4.28,7.46
2010,Kevin Walter,29,Lake Forest,IL,HOU,16,16,0,0,621,5,0,,51,12.18,WR,92,75,221,East. Michigan,MAC,43,132,8/4/1981,7,2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Antowain Smith,32,Millbrook,AL,TEN,13,4,0,137,169,0,0,3.72,22,7.68,RB,92,74,232,Houston,American,98,88,3/14/1972,1,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Donnie Avery,25,Houston,TX,STL,16,16,0,4,589,5,0,7.5,47,12.53,WR,92,71,186,Houston,American,98,88,6/12/1984,2,2008,0,4.43,16,0,0,0,0
2001,James McKnight,29,Orlando,FL,MIA,16,15,0,6,684,3,0,6.5,55,12.44,WR,92,73,198,Liberty,Big South,#N/A,#N/A,6/17/1972,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Rashad Jennings,25,Forest,VA,JAX,13,3,0,84,223,0,0,5.46,26,8.58,RB,92,73,234,Liberty Christian Academy,#N/A,#N/A,#N/A,3/26/1985,7,2009,0,4.59,29,34,120,4.2,6.86
2012,Darrius Heyward-Bey,25,Silver Spring,MD,OAK,15,14,0,2,606,5,0,8,41,14.78,WR,92,74,205,Maryland,Big Ten,98,86,7/23/1900,1,2009,0,4.25,16,38.5,126,4.18,6.8
2001,Frank Wycheck,30,Philadelphia,PA,TEN,16,16,1,1,672,4,0,1,60,11.2,TE,92,75,253,Maryland,Big Ten,98,86,10/14/1971,6,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Frank Gore,22,Coral Gables,FL,SFO,14,1,0,127,131,0,0,4.79,15,8.73,RB,92,69,215,Miami (FL),ACC,130,58,5/14/1983,3,2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Kellen Winslow,28,San Diego,CA,TAM,16,15,0,0,763,2,0,,75,10.17,TE,92,76,254,Miami (FL),ACC,130,58,7/21/1983,1,2004,0,4.62,24,0,120,0,0
2005,T.J. Duckett,24,Kalamazoo,MI,ATL,14,0,0,121,63,0,0,3.14,6,10.5,RB,92,73,254,Michigan St.,Big Ten,112,76,2/17/1981,1,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Bob Christian,33,St. Louis,MO,ATL,16,8,0,44,392,2,0,6.45,45,8.71,RB,92,71,226,Northwestern,Big Ten,92,92,11/14/1968,12,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rob Moore,31,East Meadow,NY,ARI,14,10,0,0,621,5,0,,37,16.78,WR,92,75,203,Syracuse,ACC,81,101,9/27/1968,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Bill Schroeder,31,Eau Claire,WI,DET,14,13,0,0,595,5,0,,36,16.53,WR,92,75,200,Wisc-LaCrosse,#N/A,#N/A,#N/A,1/9/1971,6,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Brooks Bollinger,26,Grand Forks,ND,NYJ,11,9,150,35,0,0,6,3.86,0,,QB,92,73,0,Wisconsin,Big Ten,135,60,11/15/1979,6,2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Jason Campbell,25,Laurel,MS,WAS,7,7,110,24,0,0,6,4.46,0,,QB,91,77,0,Auburn,SEC,130,61,12/31/1981,1,2005,28,4.72,0,0,0,0,7.42
2000,Bobby Shaw,25,San Francisco,CA,PIT,16,0,0,0,672,4,0,,40,16.8,WR,91,73,185,California,Pac 12,90,94,4/23/1975,0,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
